"","X","Name","Danceability","Energy","Key","Loudness","Mode","Speechness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Uri","Duration_ms","time_signature","Genre","Overall_Genre"
"1852",84625,"Contraband",0.801,0.679,4,-8.733,0,0.0527,0.17,7.22e-06,0.181,0.487,130.017,"spotify:track:6lt8N5nSY1EaiyeDRAIwcW",227,4,"rapmetal","Rap"
"1853",84626,"Diea King",0.632,0.946,0,-2.784,0,0.277,0.192,0,0.495,0.324,125.061,"spotify:track:1s70cjkrdj9lpEeQQlmS9l",169,3,"rapmetal","Rap"
"1854",84627,"Shutthe Fuck Up",0.956,0.5,1,-7.159,1,0.166,0.00763,1.16e-06,0.125,0.3,129.006,"spotify:track:1otcpLWDaprg3BOtE5MadV",104,4,"rapmetal","Rap"
"1855",84628,"Oxygen",0.694,0.514,1,-11.063,0,0.0449,0.0336,0.000164,0.115,0.136,120.011,"spotify:track:3MAfAtD9lKvugbWzaz21LS",142,4,"rapmetal","Rap"
"1856",84629,"Andromeda",0.893,0.907,11,-10.406,1,0.367,0.152,0.0311,0.558,0.302,99.971,"spotify:track:2ggqfj97qyiORmXoVFzP5j",121,4,"rapmetal","Rap"
"1857",84630,"Ctrl Alt Delete",0.721,0.803,7,-9.115,0,0.0822,0.557,4.51e-05,0.109,0.175,80.751,"spotify:track:5m5aCXvh8q8fBNcGzneWQt",178,4,"rapmetal","Rap"
"1858",84631,"Voltage",0.77,0.609,9,-6.38,1,0.372,0.00624,0.000121,0.128,0.293,140.15,"spotify:track:3PLHEJsJTGsDg2ExhxZetY",93,4,"rapmetal","Rap"
"1859",84632,"Dirt",0.852,0.721,3,-7.4,0,0.0751,0.354,0.000645,0.11,0.803,136.07,"spotify:track:1LpFxoC3TDeUSjU2qp3Iu1",140,4,"rapmetal","Rap"
"1860",84633,"O Pana!",0.8,0.505,0,-6.54,1,0.115,0.0206,2.05e-05,0.198,0.179,114.972,"spotify:track:2I12vOWeJU5ayhr6ha6esf",128,4,"rapmetal","Rap"
"1861",84634,"Concept Nothing",0.875,0.519,1,-3.056,1,0.0663,0.541,1.09e-05,0.109,0.0568,110.018,"spotify:track:77TtEap7ay9c4Z5B9Lp3bv",248,4,"rapmetal","Rap"
